author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Китеж;representative_developer;https://kaluga.cian.ru/sale/flat/299472127/;Калуга;sale;flat;11;17;2;67.59;6759000;мкр. Правобережье; Серафима Туликова;4;;Орбита
Агентство недвижимости РОМАНА МАЙОРОВА;real_estate_agent;https://kaluga.cian.ru/sale/flat/297720373/;Калуга;sale;flat;4;9;1;39.3;3740000;мкр. Северный; Калужского Ополчения;3к2;;
ФСК;developer;https://kaluga.cian.ru/sale/flat/298671685/;Калуга;sale;flat;18;19;2;51.4;6078153;мкр. Тайфун;бульвар Солнечный;18;;Молодёжный
Агентство недвижимости РОМАНА МАЙОРОВА;real_estate_agent;https://kaluga.cian.ru/sale/flat/299192345/;Калуга;sale;flat;2;5;2;44.0;4450000;Ленинский; Степана Разина;85;;
Веснушки;representative_developer;https://kaluga.cian.ru/sale/flat/295034176/;Калуга;sale;flat;5;8;1;62.85;7856250;Ленинский;Знаменская ;7А;;Дом на Знаменской
Агентство недвижимости РОМАНА МАЙОРОВА;real_estate_agent;https://kaluga.cian.ru/sale/flat/293622663/;Калуга;sale;flat;1;9;2;52.9;4550000;Ленинский; Никитина;133к1;;
Китеж;representative_developer;https://kaluga.cian.ru/sale/flat/299519033/;Калуга;sale;flat;1;10;2;69.9;5941500;мкр. Хороший; Фомушина;;;Кречетников Парк
ELITE HOUSE;real_estate_agent;https://kaluga.cian.ru/sale/flat/298014715/;Калуга;sale;flat;4;10;2;62.0;5299000;Ленинский; Академика Потехина;7;;Кречетников Парк
Веснушки;representative_developer;https://kaluga.cian.ru/sale/flat/295034182/;Калуга;sale;flat;7;8;2;92.22;12910800;Ленинский;Знаменская ;7А;;Дом на Знаменской
Агентство недвижимости РОМАНА МАЙОРОВА;real_estate_agent;https://kaluga.cian.ru/sale/flat/298824411/;Калуга;sale;flat;4;9;2;55.7;7500000;Московский;Азаровская ;34;;
Веснушки;developer;https://kaluga.cian.ru/sale/flat/300617701/;Калуга;sale;flat;3;19;2;64.0;4736000;Ленинский; Минская;;;Веснушки
Агентство недвижимости РОМАНА МАЙОРОВА;real_estate_agent;https://kaluga.cian.ru/sale/flat/300601106/;Калуга;sale;flat;3;10;1;41.8;6500000;Московский; Поле Свободы;105;;
ФСК;developer;https://kaluga.cian.ru/sale/flat/269185486/;Калуга;sale;flat;1;19;1;37.9;4647412;мкр. Тайфун;бульвар Солнечный;18;;Молодёжный
ELITE HOUSE;real_estate_agent;https://kaluga.cian.ru/sale/flat/300102124/;Калуга;sale;flat;2;9;1;32.7;3950000;Московский; Плеханова;12;;
Калужская Земельная Корпорация;developer;https://kaluga.cian.ru/sale/flat/274793508/;Калуга;sale;flat;2;9;1;37.82;3214700;Московский;Азаровская ;40к4;;Марс
ELITE HOUSE;real_estate_agent;https://kaluga.cian.ru/sale/flat/290293492/;Калуга;sale;flat;10;11;2;68.6;6100000;мкр. Европейский; Полесская;31;;
Китеж;representative_developer;https://kaluga.cian.ru/sale/flat/299518720/;Калуга;sale;flat;3;10;1;42.8;4194400;мкр. Хороший; Фомушина;;;Кречетников Парк
Агентство недвижимости РОМАНА МАЙОРОВА;real_estate_agent;https://kaluga.cian.ru/sale/flat/298972715/;Калуга;sale;flat;9;17;1;42.3;4600000;мкр. Солнечный; Маяковского;68;;
